,labels,probabilities
10001_at,7,0.857061388811264
10003_f_at,3,0.9997030787946083
10005_at,3,0.997950798413109
10010_at,5,0.9868157342744861
10011_at,7,0.7011174208127656
10012_at,6,0.6208053510130453
10019_at,5,0.9965487268510999
10021_at,2,0.994534826405533
10023_at,6,0.8610388741365912
10026_at,2,0.9569065248178112
10027_at,4,0.9980985361023672
10028_at,7,0.9996037623583283
10031_at,0,0.9851633283709305
10034_at,0,0.9805695405538327
10039_s_at,4,0.9581873200476219
10040_at,4,0.9844924978299039
10043_at,4,0.9994261077905682
10045_at,6,0.9954115941548705
10046_at,0,0.9980465153240454
10048_at,6,0.973332641951685
10049_at,7,0.9989555378718104
10050_at,4,0.6126714188364496
10051_at,0,0.7872942009394972
10053_at,3,0.9890334909436479
10054_at,5,0.9886678778831064
10055_at,7,0.9999347381914516
10056_at,4,0.9585341415267368
10058_at,6,0.9981371346592938
10059_at,3,0.9977028515410354
10060_at,4,0.998806063756536
10061_at,5,0.9823605330082473
10063_i_at,7,0.8875075282313365
10068_i_at,3,0.9994173811753716
10069_f_at,3,0.9989020944776158
10071_at,2,0.8059811158139076
10072_at,4,0.8975803871993704
10075_at,4,0.9989752751261137
10076_at,2,0.9653686067731865
10077_at,7,0.9996780156056299
10078_at,4,0.9881565506871745
10080_at,5,0.973248069051691
10085_at,0,0.9984896047621707
10087_at,7,0.9925803376214696
10089_at,4,0.9874774563430526
10091_at,0,0.9997848871686441
10092_at,0,0.9806576508418341
10097_at,3,0.9995670114380397
10099_at,4,0.9849430796352968
10100_at,4,0.9979955778535354
10101_at,7,0.9998392414301623
10103_at,6,0.526819435114712
10104_at,7,0.9926940347750866
10107_at,0,0.9995864006979233
10108_at,6,0.9630456078028884
10109_at,6,0.5320750745291869
10110_at,5,0.9950227076814904
10111_at,4,0.9965772575142934
10113_at,0,0.7372200794732209
10114_at,0,0.9991231689698398
10115_at,0,0.9967541983933038
10116_at,0,0.9876115916978419
10118_at,0,0.999480237755701
10120_at,2,0.9617585382570282
10121_at,3,0.9870414030846596
10124_at,2,0.93266790475552
10125_at,5,0.9869480969060481
10127_at,3,0.5825321370020562
10129_at,2,0.9696960753474682
10130_at,3,0.9973118350838363
10131_at,0,0.9965477275366309
10132_at,3,0.6764622079105471
10133_at,0,0.986154640870076
10136_at,2,0.9336457576089258
10138_g_at,2,0.8276737955187289
10139_i_at,7,0.6211567046367531
10141_at,7,0.9897979878639472
10142_at,7,0.9094009357187389
10143_at,2,0.9727419758381441
10144_at,2,0.8845788721030117
10146_at,2,0.9797301600958097
10148_at,7,0.999747420316384
10151_at,2,0.7235674741714355
10152_at,3,0.9973217677077648
10154_at,4,0.9843077068478626
10155_at,3,0.8495374271830779
10156_at,3,0.9994609772307851
10157_at,5,0.9866526497897964
10158_at,4,0.9989410677098071
10159_at,3,0.9996396573349533
10160_at,3,0.9997576461905333
10161_g_at,3,0.9807349034657059
10162_at,2,0.9224412966405192
10163_at,5,0.7392660486346847
10164_at,7,0.9999656965358
10166_at,3,0.9997461741832819
10167_at,0,0.9462930159564954
10169_at,7,0.8120664853698661
10171_at,2,0.9668072463686966
10173_at,0,0.6992964966891357
10176_at,3,0.9994239945244776
10177_at,0,0.5113840053596892
10179_at,4,0.9976346659412484
10180_at,3,0.9992758543782386
10181_at,4,0.98427254786158
10186_s_at,2,0.962450537399036
10188_at,7,0.9992595312672644
10189_at,6,0.9980191832577332
10192_at,6,0.9938613385408153
10198_at,2,0.9449804326833617
10203_at,0,0.9838022778174396
10205_at,5,0.9681388807531058
10206_at,5,0.9749138387182246
10207_at,5,0.9745609556243008
10208_at,3,0.9754909538545297
10211_at,2,0.9923834305570199
10212_at,0,0.9466775143791949
10213_at,7,0.9980137295837475
10214_at,4,0.9400551425957752
10219_at,7,0.9754695520031942
10221_at,4,0.9908971982318188
10222_at,7,0.9999131343051557
10224_at,3,0.9511035309082985
10225_at,3,0.9990663809425017
10227_at,6,0.5739301673916585
10228_at,4,0.9673307005981918
10231_at,5,0.9955957004726715
10235_at,6,0.985578757299555
10238_at,0,0.9998411006768472
10241_at,7,0.8602586605529904
10243_at,2,0.9957604599712265
10244_at,4,0.8981174141249545
10245_at,2,0.9921496882404292
10247_at,3,0.9994938637129794
10253_at,7,0.983310978639043
10254_at,7,0.9998095970079443
10255_at,2,0.5200202570702838
10256_at,3,0.999562088181666
10257_at,4,0.9973985799713665
