Topic,Short Name,Long Description
Topic 1,Cytoplasmic Translation & Ribosome Structure,"Genes encoding structural constituents and assembly factors of the cytoplasmic ribosome, including large and small subunit proteins, translation initiation factors, and components involved in GO:0006412 (translation). Covers both ribosome structure (GO:0003735, GO:0005840) and the translational machinery operating in the cytoplasm (GO:0005737)."
Topic 2,Cell Cycle & DNA Damage Checkpoint Kinases,"Serine/threonine kinases and their regulators involved in cell cycle progression, DNA damage repair, and checkpoint signaling. Includes bud neck-associated kinases relevant to the morphogenesis checkpoint, negative regulators of the cycle, and transferases with roles in phosphorylation-based signaling (GO:0005634 nucleus, GO:0005737 cytoplasm)."
Topic 3,Proteasome & ATP-Dependent Protein Degradation,"Genes encoding components of the ubiquitin-proteasome system and AAA-ATPase complexes responsible for catabolic protein degradation. Includes hydrolases (GO:0016787), ATPases, and stress-response factors localized to nucleus and cytoplasm. Also encompasses DNA replication-associated factors and mRNA surveillance linked to proteolytic pathways."
Topic 4,RNA Polymerase II Transcription & Chromatin Regulation,"Genes involved in RNA Pol II-mediated transcription (GO:0006351), including general and sequence-specific transcription factors, promoter-binding proteins, Mediator subunits, and chromatin remodeling complexes. Covers positive regulators, DNA-templated transcription machinery, and nuclear factors (GO:0005634) that control gene expression."
Topic 5,ER Membrane & Uncharacterized Transmembrane Proteins,"Integral membrane proteins (GO:0016021, GO:0016020) resident in the endoplasmic reticulum (GO:0005783), including hypothetical and putative proteins of unknown function. Encompasses biosynthetic and metabolic processes associated with the ER membrane, as well as cell wall-related components. Many genes in this topic remain poorly functionally annotated."
Topic 6,Mitotic/Meiotic Chromosome Segregation & Nuclear RNA Processing,"Genes associated with spindle pole body, kinetochore, and microtubule-based chromosome segregation during mitosis and meiosis, alongside nuclear RNA processing complexes (spliceosome, RNA Pol III). The co-occurrence likely reflects large multi-subunit nuclear complexes (GO:0005634) that participate in both chromosome dynamics and RNA metabolism (GO:0005515)."
Topic 7,Mitochondrial Metabolism & Oxidative Phosphorylation,"Genes encoding proteins of the mitochondrial inner membrane (GO:0005743) and matrix (GO:0005739), including respiratory chain oxidoreductases, dehydrogenases, and reductases involved in oxidation-reduction reactions (GO:0055114). Also covers fatty acid beta-oxidation and general mitochondrial metabolic complexes — core components of aerobic energy metabolism in yeast."
Topic 8,Vesicular Transport & Endomembrane System,"Genes mediating intracellular transport (GO:0006810) across the endomembrane system, including Golgi, vacuole, and plasma membrane (GO:0005886). Encompasses transmembrane transporters, integral membrane proteins (GO:0016021), GTPases (Rab/Arf family), and ion transporters. Covers both the secretory and endocytic pathways essential for yeast membrane trafficking."
Topic 9,Retrotransposon Biology (Ty Elements) & Nucleic Acid Metabolism,"Genes derived from or associated with yeast Ty1/Ty3 retrotransposons, including structural proteins TYA (Gag) and TYB (Pol/integrase), helicases, and reverse transcriptase-related functions. Also includes tRNA ligases, nucleotide metabolism enzymes, and ATP-dependent DNA-binding factors. This topic is uniquely yeast-specific, reflecting the prominent role of Ty elements in the S. cerevisiae genome."
Topic 10,Ribosome Biogenesis & rRNA Processing (Nucleolus),"Genes required for pre-rRNA transcription, processing, and maturation in the nucleolus (GO:0005730), including factors for SSU-rRNA and LSU-rRNA processing, 5.8S rRNA maturation, and assembly of pre-ribosomal particles (GO:0042254, GO:0006364). Distinct from Topic 1: this topic covers ribosome *production* rather than translational function, encompassing the tricistronic rRNA transcript processing pathway."
