,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
10001_at,0.0011113168327939495,0.4607975375733234,0.03191366589115039,0.02238731352674663,0.2049040044339314,0.0011115944625438798,0.0011114119678555965,0.27443961792070953,0.0011112716853706982,0.0011122657055746014
10003_f_at,0.9769217715377441,0.0025642167232380105,0.002564253617158911,0.0025641457333011137,0.0025644183448138964,0.0025642271461990274,0.002564222417449413,0.0025642974190413542,0.0025641904498293656,0.002564256611224896
10005_at,0.0005557631331910873,0.0005556432695643807,0.47400627252228805,0.08514793870178339,0.000555660099044812,0.20824539172099915,0.027300597833432593,0.15747663373593118,0.0005556302877988797,0.04560046869596654
10010_at,0.0007634953171714122,0.0007633979510818325,0.7546617450806407,0.0007634457284399285,0.0007634882971044745,0.0007634127887505173,0.15117409371586862,0.08882003790778176,0.0007634686174939815,0.0007634145956665593
10011_at,0.014286160030429082,0.014286012299204386,0.014286159513924842,0.014285848357577105,0.8714207236918668,0.014286185694189709,0.01428745420717041,0.014289294076312681,0.014285921394388229,0.014286240734936744
10012_at,0.0020001968131923764,0.002000493807131173,0.12827212566637464,0.0020006154211550625,0.5641408066928281,0.002000249539619939,0.0020001122166999957,0.2935846264200436,0.002000444867214921,0.0020003285557401414
10019_at,0.00109955665246157,0.06683322035547487,0.0010992236562615558,0.0996846013509128,0.001099139689191293,0.0010991009267140982,0.8257876447409714,0.0010990045659738613,0.0010991648250116299,0.001099343237026832
10021_at,0.003448645588223093,0.05708269533326047,0.7084649633238609,0.0034485335593232654,0.0034490519418702912,0.003448863228589149,0.003448792202355404,0.003448716295207189,0.2103112770090919,0.0034484615182183887
10023_at,0.0018520648457946139,0.0018521306390833028,0.05748811593307345,0.0018518900942622255,0.8935450109442108,0.0018522541672574215,0.0360019689989936,0.0018519622842374536,0.0018521943268741679,0.0018524077662129556
10026_at,0.014286237586136018,0.014286028328559422,0.014286278360753541,0.014285978865339078,0.8714200058947256,0.014286215898097069,0.014287480773404304,0.014289352720426491,0.014285932946805,0.014286488625753541
10027_at,0.008333474495907888,0.008333444543963349,0.008333479168318437,0.008333385158377647,0.9249964707993319,0.00833349126784587,0.00833416671506658,0.008335006053122315,0.008333578039064739,0.008333503759001246
10028_at,0.0013160137506430568,0.9881570029234932,0.0013158668200627698,0.0013158541139719853,0.0013159703292492466,0.001315933410934654,0.001315854782878947,0.0013158449371156486,0.0013158289760268691,0.0013158299556236424
10031_at,0.002702851714024114,0.002702981223448489,0.25391220200218934,0.002703233078928705,0.0027034515047009143,0.002703408383354806,0.0027030167184858896,0.002702968446571196,0.7244622972760647,0.002703589652232021
10034_at,0.001149840415054498,0.0011495636292014446,0.1632172879671442,0.0011496838647592695,0.0011495925203378224,0.0011496824004142872,0.0011494952898364566,0.0011494710793389237,0.4027361721647866,0.4259992106691266
10039_s_at,0.25102691683773193,0.0037038319725207036,0.003703861573287915,0.0037044399886320164,0.5267841284284017,0.0037039026497596847,0.19626108128862652,0.0037038867769811665,0.0037041221328725847,0.0037038283511857772
10040_at,0.2873522294120874,0.0034484813514059,0.0034488422843886824,0.0034489540029776465,0.41539618547697865,0.04433331674887085,0.23222631133035224,0.0034485098955889127,0.0034487463837787275,0.003448423113571199
10043_at,0.0025006639012797364,0.0025002873688041495,0.0025001457503672476,0.0025001797397744873,0.0025007657164151566,0.0025000654776178664,0.9774967699533337,0.002500270063401019,0.0025007982421493295,0.002500053786857452
10045_at,0.001389066809344172,0.2755466210647487,0.12316491474026564,0.0426430095636294,0.43057085012082486,0.0013891638055310968,0.12112922806198032,0.0013890837335292072,0.0013891250511333102,0.0013889370490133598
10046_at,0.004000517530829897,0.15381823802036443,0.004000844576821823,0.004000701690779787,0.8141776320034594,0.004000687991752361,0.00400028924060787,0.004000261775089079,0.004000549613250561,0.004000277557044614
10048_at,0.0013515790019055533,0.7537012306555162,0.0013516248173525802,0.00135184283929376,0.0013514469020439721,0.2354860170629517,0.0013514601667854163,0.0013514233712725375,0.0013517239931287535,0.0013516511897495285
10049_at,0.4583778236455086,0.0013702816738938993,0.09024376079134414,0.001370307415723933,0.0013700558555971812,0.0013701977831100383,0.33335264049144203,0.10980490414198661,0.001370099728326382,0.0013699284730672072
10050_at,0.003030482030246122,0.0030308840392604067,0.003030968242307759,0.003030483957404243,0.2376874771509272,0.0030305697490962194,0.7380665250604943,0.0030305676337149465,0.003031505833437271,0.0030305363031114608
10051_at,0.8748817693864164,0.09051570807692326,0.000685067257402023,0.0006851476338049712,0.0006850866365395626,0.0006850588680970209,0.000685087677063819,0.0006850375548929365,0.029807087233148455,0.0006849496757114403
