,Top 10 Words
Topic 1,"translation, ribosomal, subunit, ribosome, structural, constituent, large, 0003735, complex, factor, binding, Database, initiation, 0005840, cytoplasm, 0005737, translational, small, 0006412, Ribosomal"
Topic 2,"kinase, binding, regulation, cellular, DNA, genetic, bud, phosphorylation, repair, Database, response, cytoplasm, 0005737, nucleus, serinethreonine, cycle, transferase, neck, negative, 0005634"
Topic 3,"binding, nucleus, cytoplasm, catabolic, 0005737, ATP, complex, 0005634, hydrolase, ATPase, Database, stress, DNA, response, replication, 0016787, nuclear, mRNA, proteasome, 0005515"
Topic 4,"transcription, polymerase, binding, RNA, DNA, regulation, II, promoter, factor, DNAtemplated, nucleus, sequencespecific, positive, 0005634, orf, chromatin, ion, 0006351, response, genetic"
Topic 5,"membrane, Database, reticulum, endoplasmic, component, function, integral, unknown, 0016021, wall, 0016020, hypothetical, not, 0005783, cytoplasm, Putative, metabolic, Protein, biosynthetic, is"
Topic 6,"complex, chromosome, binding, nuclear, mRNA, spindle, nucleus, RNA, mitotic, I, assembly, 0005634, Database, division, microtubule, III, 0005515, meiotic, splicing, required"
Topic 7,"mitochondrial, mitochondrion, 0005739, membrane, inner, binding, Database, complex, oxidoreductase, dehydrogenase, acid, metabolic, component, matrix, fatty, reductase, 0005743, 0055114, oxidationreduction, Mitochondrial"
Topic 8,"transport, membrane, transmembrane, transporter, component, integral, 0016021, Golgi, vacuole, 0006810, 0016020, plasma, genetic, ion, binding, Database, not, recorded, 0005886, GTPase"
Topic 9,"binding, biosynthetic, TYB, helicase, DNA, is, acid, Gag, structural, tRNA, ATPdependent, cytoplasm, 0005737, metabolic, TYA, Pol, Retrotransposon, nucleotide, ligase, Database"
Topic 10,"rRNA, processing, nucleolus, SSUrRNA, 0005730, biogenesis, 58S, nucleus, LSUrRNA, binding, 0005634, subunit, transcript, complex, 0006364, RNA, tricistronic, 0042254, ribosome, maturation"
