#ID = Affymetrix Probe Set ID
#ORF = Entrez Gene Link
#SPOT_ID = identifies controls
#Species Scientific Name = The genus and species of the organism represented by the probe set.
#Annotation Date = The date that the annotations for this probe array were last updated. It will generally be earlier than the date when the annotations were posted on the Affymetrix web site.
#Sequence Type = 
#Sequence Source = The database from which the sequence used to design this probe set was taken.
#Target Description = GenBank description associated with the representative public identifier. Blank for some probe sets.
#Representative Public ID = The accession number of a representative sequence. Note that for consensus-based probe sets, the representative sequence is only one of several sequences (sequence sub-clusters) used to build the consensus sequence and it is not directly used to derive the probe sequences. The representative sequence is chosen during array design as a sequence that is best associated with the transcribed region being interrogated by the probe set. Refer to the Sequence Source field to determine the database used.
#Gene Title = Title of Gene represented by the probe set.
#Gene Symbol = A gene symbol, when one is available (from UniGene).
#ENTREZ_GENE_ID = Entrez Gene Database UID
#RefSeq Transcript ID = 
#SGD accession number = SGD accession number
#Gene Ontology Biological Process = Gene Ontology Consortium Biological Process derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Cellular Component = Gene Ontology Consortium Cellular Component derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Molecular Function = Gene Ontology Consortium Molecular Function derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
ID	ORF	SPOT_ID	Species Scientific Name	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	ENTREZ_GENE_ID	RefSeq Transcript ID	SGD accession number	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
10000_at	YLR331C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR331C questionable ORF	YLR331C								
10001_at	YLR332W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR332W Protein required for mating	YLR332W	O-glycosylated plasma membrane protein; acts as a sensor for cell wall integrity signaling and activates the pathway; interacts with Rom2p, a guanine nucleotide exchange factor for Rho1p, and with cell integrity pathway protein Zeo1p; MID2 has a paralog, MTL1, that arose from the whole genome duplication	MID2	851042	NM_001182221	S000004324	0000767 // cell morphogenesis involved in conjugation // inferred from genetic interaction /// 0000767 // cell morphogenesis involved in conjugation // inferred from mutant phenotype /// 0001101 // response to acid // inferred from mutant phenotype /// 0006950 // response to stress // inferred from electronic annotation /// 0006970 // response to osmotic stress // inferred from genetic interaction /// 0030242 // peroxisome degradation // inferred from mutant phenotype /// 0030969 // UFP-specific transcription factor mRNA processing involved in endoplasmic reticulum unfolded protein response // inferred from mutant phenotype /// 0031505 // fungal-type cell wall organization // inferred from genetic interaction /// 0031505 // fungal-type cell wall organization // inferred from mutant phenotype	0005886 // plasma membrane // inferred from electronic annotation /// 0005887 // integral component of plasma membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0043332 // mating projection tip // inferred from direct assay	0004888 // transmembrane signaling receptor activity // inferred from genetic interaction /// 0004888 // transmembrane signaling receptor activity // inferred from mutant phenotype /// 0004888 // transmembrane signaling receptor activity // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction
10002_i_at	YLR333C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR333C Ribosomal protein S25B (S31B) (rp45) (YS23)	YLR333C	ribosomal 40S subunit protein S25B	RPS25B	851045	NM_001182222		0002181 // cytoplasmic translation // inferred by curator	0005737 // cytoplasm // inferred from electronic annotation /// 0005840 // ribosome // inferred from electronic annotation /// 0022627 // cytosolic small ribosomal subunit // inferred from direct assay /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation	0003735 // structural constituent of ribosome // inferred from direct assay
10003_f_at	YLR333C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR333C Ribosomal protein S25B (S31B) (rp45) (YS23)	YLR333C	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S25, no bacterial homolog; RPS25B has a paralog, RPS25A, that arose from the whole genome duplication	RPS25B	851045	NM_001182222	S000004325	0002181 // cytoplasmic translation // inferred by curator	0005737 // cytoplasm // inferred from electronic annotation /// 0005840 // ribosome // inferred from electronic annotation /// 0022627 // cytosolic small ribosomal subunit // inferred from direct assay /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation	0003735 // structural constituent of ribosome // inferred from direct assay
10004_at	YLR334C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR334C questionable ORF	YLR334C							0016021 // integral component of membrane // inferred from electronic annotation	
10005_at	YLR335W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR335W nuclear pore complex protein with central repetitive domain similar to that of NSP1 and NUP1	YLR335W	Nucleoporin involved in nucleocytoplasmic transport; binds to either the nucleoplasmic or cytoplasmic faces of the nuclear pore complex depending on Ran-GTP levels; also has a role in chromatin organization	NUP2	851048	NM_001182224	S000004327	0000061 // protein import into nucleus, substrate release // inferred from direct assay /// 0000972 // transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery // inferred from mutant phenotype /// 0000973 // posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery // inferred from mutant phenotype /// 0006348 // chromatin silencing at telomere // inferred from mutant phenotype /// 0006406 // mRNA export from nucleus // traceable author statement /// 0006407 // rRNA export from nucleus // traceable author statement /// 0006408 // snRNA export from nucleus // traceable author statement /// 0006409 // tRNA export from nucleus // traceable author statement /// 0006607 // NLS-bearing protein import into nucleus // inferred from genetic interaction /// 0006607 // NLS-bearing protein import into nucleus // inferred from mutant phenotype /// 0006608 // snRNP protein import into nucleus // traceable author statement /// 0006609 // mRNA-binding (hnRNP) protein import into nucleus // traceable author statement /// 0006610 // ribosomal protein import into nucleus // traceable author statement /// 0006611 // protein export from nucleus // inferred from genetic interaction /// 0006611 // protein export from nucleus // inferred from mutant phenotype /// 0006611 // protein export from nucleus // inferred from physical interaction /// 0006612 // protein targeting to membrane // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0006999 // nuclear pore organization // traceable author statement /// 0015031 // protein transport // inferred from electronic annotation /// 0016973 // poly(A)+ mRNA export from nucleus // inferred from mutant phenotype /// 0030466 // chromatin silencing at silent mating-type cassette // inferred from mutant phenotype /// 0031990 // mRNA export from nucleus in response to heat stress // inferred from mutant phenotype /// 0035392 // maintenance of chromatin silencing at telomere // inferred from mutant phenotype /// 0036228 // protein targeting to nuclear inner membrane // inferred from mutant phenotype /// 0046907 // intracellular transport // inferred from electronic annotation /// 0051028 // mRNA transport // inferred from electronic annotation /// 0070481 // nuclear-transcribed mRNA catabolic process, non-stop decay // inferred from mutant phenotype	0000790 // nuclear chromatin // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005643 // nuclear pore // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // not recorded /// 0031965 // nuclear membrane // inferred from electronic annotation /// 0044614 // nuclear pore cytoplasmic filaments // inferred from direct assay /// 0044615 // nuclear pore nuclear basket // inferred from direct assay	0005198 // structural molecule activity // traceable author statement /// 0005487 // nucleocytoplasmic transporter activity // inferred from genetic interaction /// 0005487 // nucleocytoplasmic transporter activity // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0008536 // Ran GTPase binding // inferred from physical interaction
10006_at	YLR336C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR336C Suppressor of Glycerol Defect	YLR336C	Essential nuclear protein; required for biogenesis of the small ribosomal subunit; has a possible role in the osmoregulatory glycerol response; putative homolog of human NOM1 which is implicated in acute myeloid leukemia	SGD1	851049	NM_001182225	S000004328	0006972 // hyperosmotic response // inferred from genetic interaction /// 0042274 // ribosomal small subunit biogenesis // inferred from mutant phenotype	0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // inferred from sequence or structural similarity /// 0005730 // nucleolus // inferred from direct assay /// 0005730 // nucleolus // inferred from electronic annotation /// 0097078 // FAl1-SGD1 complex // inferred from physical interaction	0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction
10007_at	YLR337C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR337C Proline-rich protein verprolin	YLR337C	Proline-rich actin-associated protein; involved in cytoskeletal organization and cytokinesis; promotes actin nucleation and endocytosis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)	VRP1	851051	NM_001182226	S000004329	0006897 // endocytosis // inferred from mutant phenotype /// 0007015 // actin filament organization // inferred from physical interaction /// 0007121 // bipolar cellular bud site selection // inferred from mutant phenotype /// 0030036 // actin cytoskeleton organization // inferred from genetic interaction /// 0030036 // actin cytoskeleton organization // inferred from mutant phenotype /// 0030036 // actin cytoskeleton organization // inferred from physical interaction /// 0032465 // regulation of cytokinesis // inferred from mutant phenotype /// 0051666 // actin cortical patch localization // inferred from mutant phenotype	0000131 // incipient cellular bud site // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005935 // cellular bud neck // inferred from direct assay /// 0030479 // actin cortical patch // inferred from direct assay /// 0043332 // mating projection tip // inferred from direct assay	0003779 // actin binding // inferred from electronic annotation /// 0003779 // actin binding // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction
10008_at	YLR338W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR338W questionable ORF	YLR338W							0016021 // integral component of membrane // inferred from electronic annotation	
10009_at	YLR339C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR339C questionable ORF	YLR339C							0016021 // integral component of membrane // inferred from electronic annotation	
